# release: ITU-R-P.676-13
# generated by contrib/thz-ntn/tools/p676-lut-gen.py
# model: ITU-R P.676-13 Annex 1 line-by-line (44 O2 + 35 H2O lines)
# columns: freq_ghz, alt_km, attenuation_db_per_km
freq_ghz,alt_km,attenuation_db_per_km
170.000,18.00,0.000124
170.000,19.00,0.000085
170.000,20.00,0.000076
170.000,21.00,0.000048
170.000,22.00,0.000031
170.000,23.00,0.000021
170.000,24.00,0.000014
170.000,25.00,0.000009
170.000,26.00,0.000006
170.000,27.00,0.000004
170.000,28.00,0.000003
170.000,29.00,0.000002
170.000,30.00,0.000001
180.000,0.00,13.724761
180.000,1.00,7.952775
180.000,2.00,7.580331
180.000,3.00,4.260299
180.000,4.00,2.337770
180.000,5.00,1.865577
180.000,6.00,1.009008
180.000,7.00,0.536635
180.000,8.00,0.281753
180.000,9.00,0.146544
180.000,10.00,0.016554
180.000,11.00,0.008935
180.000,12.00,0.004860
180.000,13.00,0.002676
180.000,14.00,0.001499
180.000,15.00,0.000856
180.000,16.00,0.000501
180.000,17.00,0.000300
180.000,18.00,0.000184
180.000,19.00,0.000116
180.000,20.00,0.000279
180.000,21.00,0.000151
180.000,22.00,0.000084
180.000,23.00,0.000047
180.000,24.00,0.000027
180.000,25.00,0.000016
180.000,26.00,0.000010
180.000,27.00,0.000006
180.000,28.00,0.000004
180.000,29.00,0.000003
180.000,30.00,0.000002
190.000,0.00,6.826883
190.000,1.00,3.552645
190.000,2.00,3.369991
190.000,3.00,1.738187
190.000,4.00,0.891909
190.000,5.00,0.727368
190.000,6.00,0.373357
190.000,7.00,0.191178
190.000,8.00,0.097795
190.000,9.00,0.050042
190.000,10.00,0.007144
190.000,11.00,0.004047
190.000,12.00,0.002345
190.000,13.00,0.001392
190.000,14.00,0.000847
190.000,15.00,0.000527
190.000,16.00,0.000336
190.000,17.00,0.000218
190.000,18.00,0.000143
190.000,19.00,0.000096
190.000,20.00,0.000127
190.000,21.00,0.000075
190.000,22.00,0.000045
190.000,23.00,0.000028
190.000,24.00,0.000018
190.000,25.00,0.000011
190.000,26.00,0.000007
190.000,27.00,0.000005
190.000,28.00,0.000003
190.000,29.00,0.000002
190.000,30.00,0.000002
200.000,0.00,2.864336
200.000,1.00,1.410056
200.000,2.00,1.355042
200.000,3.00,0.672078
200.000,4.00,0.335614
200.000,5.00,0.281580
200.000,6.00,0.142269
200.000,7.00,0.072298
200.000,8.00,0.036970
200.000,9.00,0.019041
200.000,10.00,0.004181
200.000,11.00,0.002557
200.000,12.00,0.001601
200.000,13.00,0.001024
200.000,14.00,0.000666
200.000,15.00,0.000440
200.000,16.00,0.000295
200.000,17.00,0.000199
200.000,18.00,0.000135
200.000,19.00,0.000093
200.000,20.00,0.000084
200.000,21.00,0.000053
200.000,22.00,0.000035
200.000,23.00,0.000023
200.000,24.00,0.000015
200.000,25.00,0.000010
200.000,26.00,0.000007
200.000,27.00,0.000005
200.000,28.00,0.000003
200.000,29.00,0.000002
200.000,30.00,0.000002
210.000,0.00,2.448968
210.000,1.00,1.193823
210.000,2.00,1.156065
210.000,3.00,0.569367
210.000,4.00,0.282978
210.000,5.00,0.240084
210.000,6.00,0.121105
210.000,7.00,0.061555
210.000,8.00,0.031539
210.000,9.00,0.016306
210.000,10.00,0.004038
210.000,11.00,0.002508
210.000,12.00,0.001592
210.000,13.00,0.001031
210.000,14.00,0.000678
210.000,15.00,0.000452
210.000,16.00,0.000304
210.000,17.00,0.000206
210.000,18.00,0.000141
210.000,19.00,0.000097
210.000,20.00,0.000083
210.000,21.00,0.000053
210.000,22.00,0.000035
210.000,23.00,0.000023
210.000,24.00,0.000016
210.000,25.00,0.000011
210.000,26.00,0.000007
210.000,27.00,0.000005
210.000,28.00,0.000003
210.000,29.00,0.000002
210.000,30.00,0.000002
220.000,0.00,2.466166
220.000,1.00,1.198243
220.000,2.00,1.164087
220.000,3.00,0.571908
220.000,4.00,0.283753
220.000,5.00,0.241769
220.000,6.00,0.121872
220.000,7.00,0.061938
220.000,8.00,0.031749
220.000,9.00,0.016431
220.000,10.00,0.004197
220.000,11.00,0.002615
220.000,12.00,0.001666
220.000,13.00,0.001081
220.000,14.00,0.000712
220.000,15.00,0.000475
220.000,16.00,0.000321
220.000,17.00,0.000218
220.000,18.00,0.000149
220.000,19.00,0.000102
220.000,20.00,0.000086
220.000,21.00,0.000056
220.000,22.00,0.000037
220.000,23.00,0.000025
220.000,24.00,0.000017
220.000,25.00,0.000011
220.000,26.00,0.000008
220.000,27.00,0.000005
220.000,28.00,0.000004
220.000,29.00,0.000003
220.000,30.00,0.000002
230.000,0.00,2.611804
230.000,1.00,1.267309
230.000,2.00,1.232835
230.000,3.00,0.605053
230.000,4.00,0.299966
230.000,5.00,0.255991
230.000,6.00,0.128983
