# release: ITU-R-P.676-13
# generated by contrib/thz-ntn/tools/p676-lut-gen.py
# model: ITU-R P.676-13 Annex 1 line-by-line (44 O2 + 35 H2O lines)
# columns: freq_ghz, alt_km, attenuation_db_per_km
freq_ghz,alt_km,attenuation_db_per_km
430.000,7.00,0.691639
430.000,8.00,0.366124
430.000,9.00,0.196881
430.000,10.00,0.082689
430.000,11.00,0.054761
430.000,12.00,0.036689
430.000,13.00,0.024806
430.000,14.00,0.016890
430.000,15.00,0.011562
430.000,16.00,0.007947
430.000,17.00,0.005478
430.000,18.00,0.003785
430.000,19.00,0.002619
430.000,20.00,0.001917
430.000,21.00,0.001291
430.000,22.00,0.000876
430.000,23.00,0.000599
430.000,24.00,0.000411
430.000,25.00,0.000283
430.000,26.00,0.000195
430.000,27.00,0.000135
430.000,28.00,0.000094
430.000,29.00,0.000065
430.000,30.00,0.000045
440.000,0.00,85.026285
440.000,1.00,48.671202
440.000,2.00,42.986346
440.000,3.00,24.631531
440.000,4.00,14.172641
440.000,5.00,9.641012
440.000,6.00,5.477347
440.000,7.00,3.094057
440.000,8.00,1.729112
440.000,9.00,0.953072
440.000,10.00,0.079888
440.000,11.00,0.045350
440.000,12.00,0.025844
440.000,13.00,0.014850
440.000,14.00,0.008644
440.000,15.00,0.005118
440.000,16.00,0.003091
440.000,17.00,0.001906
440.000,18.00,0.001200
440.000,19.00,0.000770
440.000,20.00,0.002080
440.000,21.00,0.001130
440.000,22.00,0.000624
440.000,23.00,0.000352
440.000,24.00,0.000203
440.000,25.00,0.000120
440.000,26.00,0.000073
440.000,27.00,0.000045
440.000,28.00,0.000029
440.000,29.00,0.000019
440.000,30.00,0.000012
450.000,0.00,243.617707
450.000,1.00,151.096003
450.000,2.00,139.951683
450.000,3.00,83.906839
450.000,4.00,48.819176
450.000,5.00,36.074485
450.000,6.00,20.502901
450.000,7.00,11.356432
450.000,8.00,6.153976
450.000,9.00,3.276416
450.000,10.00,0.289821
450.000,11.00,0.154439
450.000,12.00,0.081771
450.000,13.00,0.043206
450.000,14.00,0.022876
450.000,15.00,0.012185
450.000,16.00,0.006556
450.000,17.00,0.003576
450.000,18.00,0.001985
450.000,19.00,0.001125
450.000,20.00,0.005586
450.000,21.00,0.002884
450.000,22.00,0.001498
450.000,23.00,0.000785
450.000,24.00,0.000416
450.000,25.00,0.000223
450.000,26.00,0.000122
450.000,27.00,0.000068
450.000,28.00,0.000039
450.000,29.00,0.000023
450.000,30.00,0.000014
460.000,0.00,44.303263
460.000,1.00,22.150445
460.000,2.00,20.616846
460.000,3.00,10.336348
460.000,4.00,5.196185
460.000,5.00,4.154685
460.000,6.00,2.099007
460.000,7.00,1.062578
460.000,8.00,0.539070
460.000,9.00,0.274167
460.000,10.00,0.036980
460.000,11.00,0.020783
460.000,12.00,0.011956
460.000,13.00,0.007051
460.000,14.00,0.004264
460.000,15.00,0.002642
460.000,16.00,0.001673
460.000,17.00,0.001081
460.000,18.00,0.000710
460.000,19.00,0.000472
460.000,20.00,0.000664
460.000,21.00,0.000388
460.000,22.00,0.000233
460.000,23.00,0.000143
460.000,24.00,0.000090
460.000,25.00,0.000058
460.000,26.00,0.000038
460.000,27.00,0.000025
460.000,28.00,0.000017
460.000,29.00,0.000011
460.000,30.00,0.000008
470.000,0.00,55.268601
470.000,1.00,29.865899
470.000,2.00,27.130831
470.000,3.00,14.724043
470.000,4.00,8.057865
470.000,5.00,5.877511
470.000,6.00,3.192479
470.000,7.00,1.735100
470.000,8.00,0.939725
470.000,9.00,0.505619
470.000,10.00,0.051073
470.000,11.00,0.028857
470.000,12.00,0.016498
470.000,13.00,0.009575
470.000,14.00,0.005659
470.000,15.00,0.003413
470.000,16.00,0.002103
470.000,17.00,0.001323
470.000,18.00,0.000849
470.000,19.00,0.000554
470.000,20.00,0.001149
470.000,21.00,0.000640
470.000,22.00,0.000364
470.000,23.00,0.000212
470.000,24.00,0.000127
470.000,25.00,0.000077
470.000,26.00,0.000049
470.000,27.00,0.000031
470.000,28.00,0.000020
470.000,29.00,0.000013
470.000,30.00,0.000009
480.000,0.00,48.358806
480.000,1.00,24.309979
480.000,2.00,22.737823
480.000,3.00,11.446549
480.000,4.00,5.775210
480.000,5.00,4.660368
480.000,6.00,2.363503
480.000,7.00,1.201543
480.000,8.00,0.612628
480.000,9.00,0.313523
480.000,10.00,0.052045
480.000,11.00,0.030566
480.000,12.00,0.018406
480.000,13.00,0.011357
480.000,14.00,0.007167
480.000,15.00,0.004614
480.000,16.00,0.003021
480.000,17.00,0.002006
480.000,18.00,0.001347
480.000,19.00,0.000912
480.000,20.00,0.000995
480.000,21.00,0.000609
480.000,22.00,0.000382
480.000,23.00,0.000244
480.000,24.00,0.000159
480.000,25.00,0.000105
480.000,26.00,0.000071
480.000,27.00,0.000048
480.000,28.00,0.000032
480.000,29.00,0.000022
480.000,30.00,0.000015
490.000,0.00,55.010178
490.000,1.00,28.498062
490.000,2.00,26.887814
490.000,3.00,14.022830
490.000,4.00,7.361850
490.000,5.00,5.945664
490.000,6.00,3.137628
490.000,7.00,1.662685
490.000,8.00,0.884592
490.000,9.00,0.473029
490.000,10.00,0.136145
490.000,11.00,0.088074
490.000,12.00,0.057823
490.000,13.00,0.038441
490.000,14.00,0.025821
490.000,15.00,0.017488
490.000,16.00,0.011921
490.000,17.00,0.008166
490.000,18.00,0.005616
490.000,19.00,0.003873
490.000,20.00,0.003110
490.000,21.00,0.002044
490.000,22.00,0.001361
490.000,23.00,0.000916
490.000,24.00,0.000621
490.000,25.00,0.000424
490.000,26.00,0.000291
490.000,27.00,0.000201
490.000,28.00,0.000138
490.000,29.00,0.000096
490.000,30.00,0.000066
500.000,0.00,62.751450
500.000,1.00,31.243853
500.000,2.00,29.858419
500.000,3.00,14.934348
500.000,4.00,7.495453
500.000,5.00,6.274889
500.000,6.00,3.165866
500.000,7.00,1.600838
500.000,8.00,0.811280
500.000,9.00,0.412150
500.000,10.00,0.057708
500.000,11.00,0.031965
500.000,12.00,0.018099
500.000,13.00,0.010498
500.000,14.00,0.006244
500.000,15.00,0.003807
500.000,16.00,0.002377
500.000,17.00,0.001516
500.000,18.00,0.000985
500.000,19.00,0.000650
500.000,20.00,0.000961
500.000,21.00,0.000556
500.000,22.00,0.000330
500.000,23.00,0.000201
500.000,24.00,0.000125
500.000,25.00,0.000080
500.000,26.00,0.000052
500.000,27.00,0.000034
500.000,28.00,0.000023
500.000,29.00,0.000015
500.000,30.00,0.000010
